Doctor Name,Education,Speciality,Experience,Chamber,Location,Concentration
Dr. Anup Kumar,"MBBS,MPH,PhD (Surgery),FRSH (UK)",Surgeon,29.0,Farazy Hospital | Banasree, Dhaka-1219,"Appendix Removal,Colon Resection,Colonoscopy,Cyst & Lipoma Removal,Endosurgery,Fistula Surgery,Gallbladder Removal,Laparoscopic Surgery,Liver Biopsy,Lymph Node Biopsy,Minor Surgery,Pancreas Removal,Perianal Abscess Drainage,Robotic Surgery,Skin Lesion Excision & Biopsy,Spleen Removal,Whipple Procedure,Limb Amputation"
Asst. Prof. Dr. Nasrin Akhter,"MBBS,MPH,MCPS,M.Phil (Psychiatry)",Psychiatrist,24.0,Farazy Hospital | Banasree, Dhaka-1219,"Alzheimer's Disease,Autism,Autism Spectrum Disorder (ASD),Bipolar Disorder Treatment,Depression and Anxiety,Eating Disorders,Generalized Anxiety Disorder (GAD),Genetic Predisposition,Major Depressive Disorder,Panic Disorder,Post-Traumatic Stress Disorder (PTSD),Schizophrenia Treatment,Social Anxiety Disorder,Substance Abuse,Brain Structure & Function"
Asst. Prof. Dr. Mohammad Yusuf Harun,"MBBS,CCD (BIRDEM),D.Ortho ( PG),A.O. spine member ( Switzarland)",Orthopedist,19.0,Farazy Hospital | Banasree, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Dr. Md. Tanzir Bin Kashem,"MBBS,BCS (Health),MS (Orthopedic Surgery)",Orthopedist,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Dr. M. A. Azad,"MBBS,MS (Orthopedics)",Orthopedist,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Asst. Prof. Dr. Mohammad Arif Hossain,"MBBS (DMC),MS (ORTHO)",Orthopedist,20.0,Farazy Hospital | Banasree, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Asst. Prof. Dr. Abdul Khaleque,"MBBS,MS (ORTHO)",Orthopedist,23.0,Farazy Hospital | Banasree, Dhaka-1219,"Achilles Tendonitis,Arthroscopy,Baker's Cyst,Cubital Tunnel Syndrome,Herniated Disc,Joint Mobilization,Knee Osteotomy,Knee Replacement,Ligament Sprains,Rheumatoid Arthritis,Spinal Disorders,Stress Fractures,Tennis Elbow,Trigger Finger"
Asst. Prof. Dr. Rozina Sultana,"MBBS,MS (Gynae & OBS),BCS (Health)",Gynecologist & Obstetrician,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Asst. Prof. Dr. Tasnuva Akter,"MBBS,FCPS (Gynae & Obs )","Gynecologist & Obstetrician
Infertility Specialist",19.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Reshma Akter,"MBBS,(DMC),BCS (Health),FCPS (Gynae & Obs )",Gynecologist & Obstetrician,24.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Tahrina Akter,"MBBS,MS(Gynae & obs),BCS (Health)",Gynecologist & Obstetrician,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Amena khan,"MBBS,FCPS (PART-LL)",Gynecologist & Obstetrician,22.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Asst. Prof. Dr. Ayesha Nigar Nur,"MBBS,MCPS,MS (OBGYN)",Gynecologist & Obstetrician,28.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Hafiza Farzana,"MBBS,BCS (Health),MCPS,FCPS (OBGYN)",Gynecologist & Obstetrician,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Assoc. Prof. Dr. Mah Zabin-Naz,"MBBS,FCPS ( Gynae & Obs)",Gynecologist & Obstetrician,28.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Asst. Prof. Dr. Rokeya Khatun,"MBBS,DGO,MCPS (OBGYN)",Gynecologist & Obstetrician,30.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Prof. Dr. Sharmin Rahman,"MBBS (DAC),FCPS (OBGYN)",Gynecologist & Obstetrician,30.0,Farazy Hospital | Banasree, Dhaka-1219,"Embolization,Female Sexual Dysfunction,Gynae Problems,Hormone Dirtubances,Hysteroscopy,Ovarian Cystectomy,Ovarian Cysts,Pelvic Inflammatory Disease (PID),Polycystic Ovary Syndrome (PCOS),Pregnancy Care & Check-up,Premenstrual Syndrome (PMS),Sexually Transmitted Disease (STD) Treatment,Uterine Fibroids,Vaginal Infection Treatment,Recurrent Miscarriages"
Dr. Nusrat Jahan Daisy,"BDS (DU),PGT (OMS)",Dentist,17.0,Farazy Hospital | Banasree, Dhaka-1219,"Dental Caries,Dental Implants,Dental implants,Dry Mouth,Impacted Teeth,Impacted Teeth,Improve Jaw Function,Mouth Tumors,Periodontal Disease,Salivary Gland Disorders,Sensitive Teeth,Temporomandibular Joint (TMJ),Tooth Decay,Treat Oral Diseases,Orthodontics"
Dr. Ismat Ara,"BDS,PGT (Oral & Maxillofacial Surgery)",Dentist,13.0,Farazy Hospital | Banasree, Dhaka-1219,"Dental Caries,Dental Implants,Dental implants,Dry Mouth,Impacted Teeth,Impacted Teeth,Improve Jaw Function,Mouth Tumors,Periodontal Disease,Salivary Gland Disorders,Sensitive Teeth,Temporomandibular Joint (TMJ),Tooth Decay,Treat Oral Diseases,Orthodontics"
Rubaia Parvin Reety,"B.Sc,M.Sc (Food & Nutrition Science)",Nutritionist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Diabetes Management,Diet Management,Food Allergies,Food Sensitivity Management,Gastroparesis,Geriatric Nutrition,Healthy Heart Diet,Mindful Eating,Naonatal Nutrition,Nutritional Assessment,Nutritional Support for Pregnancy,PCOD/ PCOS Diet Counselling,Sports Nutrition,Weight Loss Diet Counseling,Nutritional Supplements"
Asst. Prof. Dr. Reaz Mahmud,"MBBS (DMC),FCPS (MEDICINE),MD (NEUROLOGY)",Neurologist,17.0,Farazy Hospital | Banasree, Dhaka-1219,"Autism,Brain Mapping,Cerebrovascular Disease,Confusion,Dementia Treatment,Epilepsy,Headache Disorders,Laminectomy,Meningitis,Movement condition or imbalance,Numbness or tingling,Parkinson's disease,Seizure disorders,Vertigo/Dizziness,Cerebral Stroke"
Dr. M. K. A. Chowdhury,"MBBS,MAMS (Viena),CCD (UK)",Medicine Specialist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Assoc. Prof. Dr. Alamgir Mustak Ahammad,"MBBS,FCPS (Medicine),MD (Rheumatology)","Medicine Specialist
Rheumatologist",25.0,Farazy Hospital | Banasree, Dhaka-1219,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Assoc. Prof. Dr. Md. Mostarshid Billah,"MBBS,FCPS (Medicine)",Medicine Specialist,22.0,Farazy Hospital | Banasree, Dhaka-1219,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Assoc. Prof. Dr. Mir Jakib Hossain,"MBBS,FCPS (Medicine),MD (Gastroenterology)","Medicine Specialist
Gastroenterologist",23.0,Farazy Hospital | Banasree, Dhaka-1219,"Acidity Treatment,Alzheimer's Disease,Arthritis Problem,Celiac Disease,Gastritis Treatment,Gastroesophageal Reflux Disease (GERD),Gastrointestinal Bleeding,Gastroscopy,General Medicine,Heart Diseases,Infectious Diseases,Inflammatory bowel disease (IBD),Irritable bowel syndrome (IBS),Lactose Intolerance,Parkinson's disease,Peptic Ulcers,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Diverticulitis"
Prof. Dr. Mohammad Rafiqul Islam,"MBBS (DU),BCS (Health),FCPS (Medicine),FACP (USA),FRCP (EDIN)",Medicine Specialist,22.0,Farazy Hospital | Banasree, Dhaka-1219,"Aesthetic Medicine,Alzheimer's Disease,Arthritis Problem,General Medicine,Geriatric Medicine,Heart Diseases,Infectious Diseases,Influenza (Common Cold),Neonatal Medicine,Parkinson's disease,Pediatric Medicine,Trauma and wound care,Trouble Sleeping,Vaccination / Immunization,Adolescent Medicine"
Asst. Prof. Dr. Salina Haque,"MBBS,BCS (Health),FCPS (Hematology)",Hematologist,19.0,Farazy Hospital | Banasree, Dhaka-1219,"Anemia,Autoimmune Hemolytic Anemia (AIHA),Blood Clots,Blood Transfusion,Bone marrow failure syndromes,Coagulation Disorders,Hemochromatosis (Excess Iron),Hemoglobinopathies (e.g., HbS, HbC),Hemophilia,Iron-deficiency anemia,Leukemia,Lymphoma,Plasma cell disorders,Sickle Cell Anemia,Thalassemia,Eosinophilic Disorders"
Dr. Tanmay Roy Shuvo,"MBBS (DMC),BCS (Health),MCPS (Eye),MS (Eye)",Ophthalmologist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Dr. Humayra Afrin,"MBBS,BCS (Halth ),FCPS (Eye)",Ophthalmologist,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Asst. Prof. Dr. Md. Nazrul Islam,"MBBS (DHAKA),FCPS (EYE),ICO (UK)",Ophthalmologist,21.0,Farazy Hospital | Banasree, Dhaka-1219,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Lens for Keratoconus,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Color Vision Deficiency"
Dr. Golam Musfiqur,"MBBS,BCS (Health),MCPS (EYE)",Ophthalmologist,15.0,Farazy Hospital | Banasree, Dhaka-1219,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Prof. Dr. Neyamat Ullah Khan,"MBBS (DHAKA),FCPS (ENT)",Otolaryngologists (ENT),20.0,Farazy Hospital | Banasree, Dhaka-1219,"Adenoiditis,Allergies,Cholesteatoma,Chronic Rhinitis,Conductive Hearing Loss,Deviated septum,Head and Neck Tumor,Laryngeal Papillomatosis,Laryngitis,Meniere's disease,Otitis Media (Middle Ear Infection),Otosclerosis,Sinusitis,Surgery for Snoring,Swimmer's ear,Tinnitus (Ringing in the Ears),Tonsillitis Treatment,Zenker's Diverticulum"
Dr. Mohammad Lutfar Rahman,"MBBS,BCS (Health),MD (Dermatology & Venereology)",Dermatologist,15.0,Farazy Hospital | Banasree, Dhaka-1219,"Acne Problems,Alopecia Areata,Atopic Dermatitis Treatment,Dermatitis Treatment,eczema,Electrocautery for Warts,Herpes Simplex (Cold Sores),Herpes zoster (shingles),Impetigo,Psoriasis Treatment,Rosacea,Skin Allergies,treatment for ringworm,Vitiligo,WARTS,Cellulitis"
Prof. Dr. Abu Saeed Mohammad,"MBBS (Dhaka),BCS( Health ),DDV,FCPS(Skin & Sex)",Dermatologist,28.0,Farazy Hospital | Banasree, Dhaka-1219,"Acne Problems,Alopecia Areata,Atopic Dermatitis Treatment,Dermatitis Treatment,eczema,Herpes Simplex (Cold Sores),Herpes zoster (shingles),Impetigo,Psoriasis Treatment,Rosacea,Skin Allergies,treatment for ringworm,Vitiligo,WARTS,Cellulitis"
Dr. Arifur Rahman,"MBBS,BCS (Health),MD (Pediatrics)",Pediatrician,17.0,Farazy Hospital | Banasree, Dhaka-1219,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Asst. Prof. Dr. Md. Alamgir Hossain,"MBBS,MS (Child Surgery)",Pediatric Surgeon,17.0,Farazy Hospital | Banasree, Dhaka-1219,"Achalasia,Adnexal Tumors,Adrenal Cancer,Anorectal Malformations,Appendicitis,Benign Adrenal Tumors,Bowel obstruction,Colon polyps,Congenital diaphragmatic hernia,Esophageal atresia,Hirschsprung's disease,Pediatric Gastrointestinal Bleeding,Pediatric Oncological Surgery,Pyloric stenosis,Vascular Anomalies in Children"
Dr. Shabnam Shahidullah,"MBBS (Dhaka),BCS (Health),MCPS (Pediatric ),MD (Pediatric Nephrology),ICPPN (Singapore)",Pediatric Nephrologist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Acute Renal Failure,Alport Syndrome,Chronic Kidney Disease (CKD),Denys-Drash Syndrome,IgA Nephropathy,Kidney Biopsies,Kidney Diseases,Kidney Infections,Kidney Stones,Medullary Cystic Kidney Disease (MCKD),Nephrotic Syndrome Treatment,Obstructive Uropathy,Reflux Nephropathy,Urinary Tract Infection (UTI),Posterior Urethral Valves (PUV)"
Dr. Md. Nurul Islam Shikdar,"MBBS,DCH,CCD(BIRDEM)",Pediatrician,15.0,Farazy Hospital | Banasree, Dhaka-1219,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Dr. Begum Rahila Akhtar,"MBBS,DCH",Pediatrician,23.0,Farazy Hospital | Banasree, Dhaka-1219,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Dr. Rashidul Hasan Shafin,"MBBS,BCS (HEALTH),FCPS (PEDIATRICS),FCPS PART-2 (NEWBORN)",Pediatrician,14.0,Farazy Hospital | Banasree, Dhaka-1219,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Prof. Dr. Syed Shafi Ahmed Muaz,"MBBS,DCH,MD (PAED),PH.D (DU)",Pediatrician,31.0,Farazy Hospital | Banasree, Dhaka-1219,"Allergy Testing,Asthma,Auto-immune Diseases in Children,Child Nutrition,Child Trauma & Injuries,Health Checkup (Pediatric),Infectious Diseases,Malnutrition,New Born Care,Pediatric Emergencies,Pediatric Intensive Care Unit (PICU),Pneumonia Treatment,Vaccination/ Immunization,Viral Fever Treatment,Growth & Development"
Dr. Md. Shahjahan Siddique Shakil,"MBBS (DMC),MD (Chest Diseases)",Pulmonologist,17.0,Farazy Hospital | Banasree, Dhaka-1219,"Acute Respiratory Distress Syndrome (ARDS),Allergy Testing,Alpha-1 Antitrypsin Deficiency,Asthma,Bronchitis Treatment,Bronchoscopy,Chronic Obstructive Pulmonary Disease (COPD) Treatment,Eosinophilia Treatment,Pneumonia Treatment,Pneumothorax,Polysomnography,Pulmonary Aspergillosis,Sarcoidosis,Upper Respiratory Infection,Interstitial Lung Disease Treatment"
Dr. Md. Delwar Hossain Rajib,"MBBS,BCS ( Health ),MD (Chest Disease)",Pulmonologist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Acute Respiratory Distress Syndrome (ARDS),Allergy Testing,Alpha-1 Antitrypsin Deficiency,Asthma,Bronchitis Treatment,Bronchoscopy,Chronic Obstructive Pulmonary Disease (COPD) Treatment,Eosinophilia Treatment,Pneumonia Treatment,Pneumothorax,Polysomnography,Pulmonary Aspergillosis,Sarcoidosis,Upper Respiratory Infection,Interstitial Lung Disease Treatment"
Asst. Prof. Dr. Dewan Azmal Hussain,"MBBS,MCPS (MEDICINE),MD (CHEST DISEASES)",Pulmonologist,21.0,Farazy Hospital | Banasree, Dhaka-1219,"Acute Respiratory Distress Syndrome (ARDS),Allergy Testing,Alpha-1 Antitrypsin Deficiency,Asthma,Bronchitis Treatment,Bronchoscopy,Chronic Obstructive Pulmonary Disease (COPD) Treatment,Eosinophilia Treatment,Pneumonia Treatment,Pneumothorax,Polysomnography,Pulmonary Aspergillosis,Sarcoidosis,Upper Respiratory Infection,Interstitial Lung Disease Treatment"
Dr. Sree kashab Acharjee,"MBBS (DU),PGT (Medicine)",Cardiologist,15.0,Farazy Hospital | Banasree, Dhaka-1219,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Blood Pressure,High Cholesterol,General Cardiac Check-up"
Dr. Mohammad Khairul Islam,"MBBS,D-Card (BSMMU),CCD (Bardem),BCS (Health)","Cardiologist
Rheumatologist
Diabetes Specialist",19.0,Farazy Hospital | Banasree, Dhaka-1219,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Blood Pressure,High Cholesterol,Hypertension (High Blood Pressure),General Cardiac Check-up"
Dr. Abdullah Al Maruf,"MBBS,BCS (Health),MD (Cardiologist)",Cardiologist,18.0,Farazy Hospital | Banasree, Dhaka-1219,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Blood Pressure,High Cholesterol,General Cardiac Check-up"
Dr. Md. Elias Ali,"MBBS,MCPS (Medicine),MD (Cardiology),AMACC (USA)",Cardiologist,20.0,Farazy Hospital | Banasree, Dhaka-1219,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Cholesterol,Hypertension (High Blood Pressure),General Cardiac Check-up"
Asst. Prof. Dr. Newaz Ahmed Chandan,"MBBS,MD (Cardiology)",Cardiologist,16.0,Farazy Hospital | Banasree, Dhaka-1219,"Abnormal Heartbeat,Anticoagulation Therapy,Antiplatelet Therapy,Cardiac Medicine,Cardiac Rehabilitation,Cardiogenic Shock,Cardiomyopathy,Coronary Artery Disease (CAD),Healthy Heart Diet,Heart Abnormalities,Heart Attack,Heart Infection (Endocarditis),High Cholesterol,Hypertension (High Blood Pressure),General Cardiac Check-up"
Dr. Kamrun Nahar Tania,"MBBS,BCS (Health),MD (Rediation Oncology)",Oncologist,15.0,Farazy Hospital | Banasree, Dhaka-1219,"Adnexal Tumors,Adrenal Cancer,Bladder Cancer,Bone-marrow Transfusion,Colorectal Cancer,Gynecologic Oncology,Hodgkin's Lymphoma,Leukemia,Melanoma Treatment,Multiple Myeloma,Neuroblastoma,Pediatric Oncology,Soft Tissue Sarcoma,Thymic Carcinoma,Gastrointestinal Stromal Tumors (GIST)"
Dr. Md. Moinul Hoque,"MBBS,MS,Fellow Orbit & Oculoplasty",Ophthalmologist,17.0,Green Eye Hospital Ltd., Dhaka-1205,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Dr. Asma Rahman,"MBBS,MS (Ophthalmology)",Ophthalmologist,11.0,Green Eye Hospital Ltd., Dhaka-1205,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Dr. Faria Tilat Tima,"MBBS,BCS (Health)",Ophthalmologist,12.0,Green Eye Hospital Ltd., Dhaka-1205,"2.2 mm Phaco Surgery for Cataract,Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Lens for Keratoconus,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Color Vision Deficiency"
Dr. Sabia Salam,"MBBS,MCPS (Eye)",Ophthalmologist,10.0,Green Eye Hospital Ltd., Dhaka-1205,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Dr. Palash Kanti Mistry,"MBBS,BCS (Health),MS (Eye)",Ophthalmologist,12.0,Green Eye Hospital Ltd., Dhaka-1205,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
Dr. Nawreen Anwar,"MBBS,FCPS (Eye)",Ophthalmologist,12.0,Green Eye Hospital Ltd., Dhaka-1205,"Age-Related Macular Degeneration Treatment,Allergic conjunctivitis,Amblyopia (Lazy Eye),Cataracts,Diabetic Retinopathy Screening/ Treatment,Dry eyes,Glaucoma,Injuries and trauma,Ptosis,Refractive Errors,Retinal detachment,Strabismus,Treatment for Keratoconus,Color Vision Deficiency"
